CC	А	I союз противит разг а, тогда как, в то время как —	Хуш, ваъданг канча3— Кирк центнер дан — А кизлар-чи3 —	Юз» (Ойбек «О в шаба халар») Ну, каково тво« обяз I тельство3— По сорок центнеров — А у девушек3— Сто*
A2	АБЖИР	ловкий, проворный расторопный, разбитном, цепким
N1	АБЖИРЛИК	ловкость, проворство, расторопность цепкое то ~ билаи ловко проворно, расторбпьо
A2	АБЗАЛ	сбруя \пряжь от~и конская сбруя упряжь
V-TV	АБЗАЛЛАМОҚ	снаряжать (лошадь) надевать сбрхю (на лошадь) седлать (коня)
N1	АБЗАЦ	абзац
N1	АБИРА	правнук, правнучка, набира-~лар см набира
A2	АБЛАК	чубарый (о масти лошади)
N1	АБЛАҲ	1 глупец, дурак,//гллпый, 2 подлец, мерзавец, негодяй // подлый, мерзкий
ADV	АБЛАҲЛАРЧА	нареч глупо по дурацки, подло
N1	АБЛАХЛИК	глупость дурацким поступок подлость, мерзость
A1	АБЛАХОНА	гллпо, по дурацки,//глупый, дурацкий, ~ хатти-харакат В Дурацкий поступок 2) годлый поступок
N1	АБОНЕМЕНТ	абонемент // абонементный — дафтарча-си -бонементная книжка
N1	АБОНЕНТ	абонент ~ бу л мок
N1	АБОРТ	млд аборт — қилмоқ делать аборт
A2	АБОРТИВ	абортивный
N1	АБР	/.о,т книжн облако, тхча, -н навбаҳор весенняя тл ча весе чш е облака
N1	АБРАЗИВ	абразив //абразивный ~ материаллар абразивные матер талы
N1	АБРИШИМ	вид цветной шелковой ткани, ~ тун шёлковый халат
N1	АБРЎ	поэт боовь брови
N1	АБРУКАМОН	Чоэт изогнутые брови //с изогнутыми бровях*И, С бровями дугой
N1	АБСОЛЮТ	I филос абсолют
A2	АБСОЛЮТ	II абсолютней ~ ҳакиқат филос абсолютная истина — микдор мат абсолютная величина ~ нуль физ абсолютный нуль ~ ер рентаси эк абсолютная зе дельная рента
N1	АБСОЛЮТИЗМ	полит абсолютизм
A2	АБСТРАКТ	абс’трзктпый ~ меҳиат эк абсракгннй тру д ~ равмшда абстрактно
V-TV	АБСТРАКТЛАМОҚ	абстрагировать
V-TV-CAUS	АБСТРАКТЛАШТИРИЛМОҚ	страд от абстракт лаштир-мок к^стр^тирозатцея быть абстрагируемым
V-TV-CAUS	АБСТРАКТЛАШТИРМ0Қ	абстрагировать
N1	АБСТРАКТЛИК	л бет о а лтн ость
N1	АБСТРАКЦИЯ	абстракция
N1	АБСЦЕСС	мед абсцесс
N1	АБСЦИССА	млт абсц» сса
N1-NAT	АБХАЗ	абхаз, абхазец, // абхазский ~ тили абхазский язюк
ADV	АВАЙЛАБ	1 двспр от авайламоц; 2 нареч бережно, осторожно, — кутармоц осторожно почнять харажат қилмоқ бережно расходовать
V-TV	АВАЙЛАМОҚ	беречь, оберег пъ обращаться беоежчо, осторожно
N1	АВАНГАРД	авангард //авангардный Коммунистах партия ишчилар синфинннг —идир Коммунистическая пар тия — аван-срд рабочего класса
N1	АВАНГАРДЛИК	отел сущ от авангард, — роли аван гарднтя роль
N1	АВАНС	аванс,//авансовый ~ хисоботи авансовый от чет, — олмок получать аванс, — бермоқ выдавать «ване, авансировать
N1	АВАНТЮРА	авантюра
N1	АВАНТЮРАЧИ	авантюрист
N1	АВАНТЮРИЗМ	авантюризм
N1	АВАНТЮРИСТ	авантюрист
A2	АВАНТЮРИСТИК	а в аитюристический
N1	АВАНТЮРИСТЛИК	авантюризм // авантюристические — сиесати авантюристическая политика
N1-NAT	АВАР	аварец, // аварский, — аел аварка ~ тили авэр счий ? зык
N1	АВАРИЯ	авария //аварийный, — бригадаси аварийная бригада, —га. учрамоқ поп егь в аварию, потерпеть ава рию
N1	АВАХТА	уст гауптвахта, арестным дом полицейский участок
N1	АВАҒА	1 праправнук праппазнучка, 2 дальнее потом с^во — чавага дальнее потомство дальние родственники, —мы*нг —си седьмая вода на кисете
N1	АВБОШ	уст хулиган, баламут
N1	АВВОШЛИК	уст хулиганство бесшнство
ADV,N1,POST-ABL	АВВАЛ	1 раньше, прежде, в прежнее время, 2 сначала, сг₽рва, звг — прежде всего, раньше всего, первым доч гам, — ўипа, кейин суйла погов сначала подумай, потом говори, — йулдош, кеиин йул пос а сначала попутчик, а потом путь, — таом, баъдаз калом погов снач 1ла угоще мне (буке еда), а разговор потом 3 начало, — м(га) спер ва сначала, вначале, — боши начало, зачин (чего л), —и ва охирн чача по и конец (чего л ), — бошдан с самого на •■ала -дан охир с начала до конца цепиком и полностью 4 первый, начальный, ранчий, — баҳор ранняя весна о послелог, управляющий исходным падежом до (кого чего I) пеоед (кем чеч-л ), урушдан — до войны
ADV	АВВАЛАН	уст — аввало
ADV	АВВАЛГИДЕК	нар”Ч по прежнему, как прежде, как и раньше, у — куп укийди он по прежнему много читает
ADV	АВВАЛГИЧА	= аввалтидек
N1	АВВАЛИ(ГА)	си аввал 3
AV	АВВАЛЛАРИ	юреч раньше, в прежние времена
ADV	АВВАЛО	нареч прежде всего, первьм долгом, сначала, С’юоЕа во пев вых — шуни айтмш керак-ки,.. прежде всего следует еКа=ать что,
N1	АВГУСТ	август //августовский — ейида в августе ме ся1 е — кунларининг бирида в один из августовских дней, в од 1Н из дней августа
N1	АВЖ	I высшая (кульминационная) точка, вершина, агогеи, зенит, ғўзаниьг —-и фаза наиболее полной вегеТа пни хлопчатника — (и) да в самом разгаре в расцвете Бозоряинг ғовур-ғувурк - да. (Ойбек, «Қутлуғ кон) Ба зарный шум и гам в разгаре , —и пайти 1) самое поахо дящее удобное (для чего л ) время 2) разгар (чего л) —в ншлаш пайти самое время работать — н йигим-терим пайти I аз” ар уборочных работ, страда, Авжи умна б кула-диган чоғииг ку (Ойбек, «Кутлуғ цои») Ведь самое время тебе гулять и весеплгься, — олмок, —ига минмоқ, — ига чнкмок достигать высшей точки, апогея, разгораться, уси лпваться, становиться очень сильным вспыхивать (о на ком л легенда) мунозара — ига чикди дискуссия в самом разгар" ~ олдирмоқ доводить до высшей точки, до кр 1й ности уалмвать раздувать, разжигать (напр войну) развертывать, социалистах мусобакани кенг — олдирмок широко развеэнхть социалистическое соревнование, 2 чуз самая высокая нбта в мелодии
V-TV-CAUS	АВЖЛАНТИРМОҚ	доводить до высшей точки, до краиност? усиливать, раздувать, разжигать (напр вой ну) развёртывать
A1	АВЖЛИ	гуз исполняемый местами с резким перехбдом в верхний регистр
A1	АВЖСИЗ	чуз исполняемый на низких нотах без рез-ю х п( рех нов в верхний регистр
N1	АВЗО	[авзои] 1 настроение, душевное состояние, унинг — и бузук 1) у него плохое настроение он не в духе 2) он что то замышляет, он задхмал что то недоброе 2 вид выражение лица — идан билмоц узнать (что 1) по виду, по выражению (чьего я) лица 3 состояние, поло жение, хавоиинг —и бузук погода неважная погода хму ригься — ичи олмоц прощупать позонтировать
N1	АВЗОИ	с г авзо
N1	АВИАБАЗА	(авиация базаси) авиабаза (авиационная бТ’Ч1
N1	АВИАБОМБА	(авиация бомбаси) авиабомба (авиациои ная бомба)
N1	АВИАДЕСАНТ	(авиация десанта) авиадесант (авиации птый теса нт)
N1	АВИАДЕСАНТЧИ	авиадесантник
N1	АВИАЗАВОД	авиазавод, авиационный завод
N1	АВИАКОНСТРУКТОР	авиаконпруктор АВИАЛИНИЯ шиа линия Москва — Тошкент — си авиа линия Москв I — Тошкенг
N1	АВИАМОДЕЛЧИ	авиамоделист
N1	АВИАМОДЕЛЧИЛИК	авиамоделизм, — тўгараги авиа ь сдельный кружок
N1	АВИАМОДЕЛЬ	авиамодель
N1	АВИАМОТОР	(авнацион мотор) авиамотор (авиацион ныи мотор)
N1	АВИДМОТОРСОЗЛИК	авиа моторостроение авиамото ростроительныи — заводи авиамоторостроительный завод
N1	АВИАНОС	уст авианосец
N1	АВИАНОСЕЦ	авианосец
N1	АВИАПОЧТА	авиапочта
A2	АВИАЦИОН	авиационный
N1	АВИАЦИЯ	авиация, Ц авианионнь й, — саноати авиационная пром ы ш ценность
N1	АВЛИЁ	I святой, чудотворец Меи шундай —манки, агар тош еки дарахтни чақирсам ол симга дарров келади («Афанди») Я такой чудотворец, что если кликну камень или дерево, они тотчас предстанет передо мной, 2 перен раз-* шутл Слаженный, не от мира сего
A2	АВЛИЁНАМО	1 похожий на свят эго, 2=»= авлиё 2
A1	АВЛО	книжн лучшим, предпочтительный, превосход-ь 1 Ч 1хчше предпочтительнее
N1	АВЛОД	1 потомок, потомки, потомство, дети род, поколение —дан—га из рада в род, у деҳқои — идаи он родом из крестьян, ёш — молодое потолскре, шонли комсомол —и славное комсомольское племя, 2 родственники), родил у хам бизнидг — ими-» он также наш родственник
N1	АВЛОД-АЖДОД	1 поколения, ряд поколений (по восходящей и нисходящей линчи) 2 потомки, 3 предки 4 родич, унинг — н ишчи оп потомственный рабочий, Унинг—ири сураб қарайик. («Муродхон») Расспросим какого он происхождения
N1	АВОМ	уст 1 простонародье, простой люд, чернь — халқ простои народ, — тали просторечие 2 перен иегра чогные невежественные люди
N1	АВРА	лицевая сторона, верх (отежды, одеяла),—тўн халат без подклапки
N1	АВРА-АСТАР	верх и подкладка (одежды, одеяла), — чопон легкии (без ваты) халат (т с состоящий из мате риа и подкладки) —инн ағдармб ташпамоқ 1) псревер нуть (что л ) напз”анку 2) пер^я раскритиковать (кого что л ) вскрывать подоплеку (чего л ) раскрывать (чье л) нутро, Унинг куз олдида бу «азиз» оиланмнг —и очила-верди (П Турсун «Уқитувчи») На его глазах раскр1 ва псь псе нутро этой «святой» семейки
N1	АВРАЛ	аврал//авральный — ишлар '•вратшыс работы
V-TV	АВРАМОҚ	1 заговаривать завораживать заклинать (произносить магические слова обладающие по поверью, волшебной или целебной силой напр при укусе скорпио на) гипнотизировать 2 за 1?ичвать приманивать обольщать, 3 перен обманывать, ловко (тонко) провести, заговаривать зубы, отвлекать внимание морочить голову авраб-савраб действуя всякими обманными путями, угово рами и посулами
N1	АВРАТ	1 рел часть тела (для мужчин— от пояса до коген для женщин—от кистей рук до или и от шеи до ступней ног) которую по шариату следовало закрывать 2 разг женщина 4— япроқ фиговый чисток
N1-VN	АВРАШ	1 и д от аврамок, 2 обман
N1	АВРАШ-АЛДАШЛАР	1 обманы и ухищрения 2 обмз ны и посулы
N1	АВРОКЧИ	1 колд и заклинатель 2 обманщик
N1	АВРОҒИЧ	= аврокчи.
A1	АВСАТ	уст к низы средний, посредственный //средне
N1	АВТОБАЗА	(автомобиль базаси) автобаза (автомобиль ная база)
A2	АВТОБИОГРАФИК	автобиографмче кии автобиогра фичныи — повесть автобиографическая повесть
N1	АВТОБИОГРАФИЯ	автобиография
N1	АВТОБЛОКИРОВКА	ж д автоблокировка,//автобто Кировечный — курилмаси автоблокировочное устройство
N1	АВТОБУС	автобус //автобу сный, — катнови автобусное сообщение
N1	АВТОГЕН	зех автотсн //автогенный —сварка автоген нзя сварка
N1	АВТОГРАФ	автограф
A2	АВТОГРАФИК	автографически! — қўл ёзма автографи ческая рукопись
N1	АВТОЗАВОД	(автомобиль заводи) автозавод (автохо Сильный завод)
N1	АВТОКАМЕРА	(автомобиль камераси) автокамера (ав томоби льна я ы м с ра)
N1	АВТОКОЛОННА	(автомобиллар колоннаси) автоколон на (автомобильная колонна)
N1	АВТОЛ	тех автол // автоловый
N1	АВТОМАТ	автомат, // автоматический Қалбда газа б кмлда автомат, кирнб бордик олов цишлоцца (Д Файзи ев/ ’С гневом' в сердце с лғгцигапэтг в док<гх ви-иЛп" с пылающее село — телефон телефон автомат — ручка а в томат!ческая ручка
A2	АВТОМАТИК	автоматический — суратда, — равишда автомата гески
V-IV	АВТОМАТЛАШМОҚ	автоматизироваться переходить на автоматизацию
V-TV-CAUS	АВТОМАТЛАШТИРИЛМОҚ	страд от автоматлаштир-мок автоматпзиоовагься быть автоматизируемым
N1-VN	АВТОМАТЛАШТИРИШ	1 и д от автоматлаштирмок, 2 автоматизсция (перевод на автоматизацию) агрегат-лариинг бошцарилишиии — автоматизация управления аг регатами
V-TV-CAUS	АВТОМАТЛАШТИРМОҚ	автоматизировать, технологии процессларии — < втом визировать технологические про цессы
N1	АВТОМАТЧИ	автоматчик, —лар ротаси воен рота ав томатчиков — аёд автоматчица (женщина работающая на авто матине ее он станке)
N1	АВТОМАШИНА	автомашина
N1	АВТОМОБИЛСОЗЛИК	автомобилестроение // автомо битестроитсчьиый, — факультета автомобилестроительный факу чыет
N1	АВТОМОБИЛЬ	автомобиль //автомобильный //— хай-дамоц управлять автомобилем — заводи автомобильный завод — еаноати автомобильная промышленность
A2	АВТОНОМ	автономный — республика автономная рес п} блик I — область автономная область
N1	АВТОНОМИСТ	полит автономист Қўкон —лари ист кокандскщ автономисты (участники контрреволюционной национа/шетнеескои Кокандскои автономии в 1917 г)
N1	АВТОНОМИЯ	автономия
N1	АВТОНОМИЯЛИ	пользующийся или обладающий авто номиеи авточомн а и
N1	АВТОНОМИЯЧИ	= автономист.
N1	АВТОНОМЛИК	азтономность
N1	АВТОПАРК	(автомобиллар парки) автопарк (автомо Сильный парк)
N1	АВТОПЙГА	(автомобиллар пойгаси) автогонки (авто мобч л! ные гон <и)
N1	АВТОР	автор //авторский —лар коллективи авторский коллектив кол гектив авторов —листа авторски» лист
N1	АВТОРЕМОНТ	— заводи авторемонтный за во л
N1	АВТОРЕФЕРАТ	автореферат, диссертация —и авторе ферат диссертации
N1	АВТОРЛИК	авторство //авторский — хукуки твтор слое право — гучоҳцомаси авторское свилстелгство
N1	АВТОРУЧКА	авторучка
N1	АВТОСУГОРҒИЧ	(автоматик суғорғич) с х автопоил ка (автом ! гичсская поилка)
N1	АВТОТРАНСПОРТ	(автомобиль транспорта) твтотран спорт (автомобильной грлнепорт)
N1	АВТОХУЖАЛИК	(автомобиль хужалиги) звтохозяиство ' в^омобильное хозяйство)
N1	АВТОЧАНА	автосани //автосаппьи —лар помгаси ав тосанные гонки
CS	АГАР(ДА)	союз условн (обычно сочетается с ггагола ми в условном наклонении) если если же, а если в слу чае если если бы агар да бу китоб мен да булса эд и мен у ни сизга берар эдим если бы V меня была эта книга я дал бы ее вам Ащр о там л ар бир гарафга цараб юрган-ларида ер аг цари л чб кетар эди-ку’ («Афанди») Рели бы все люди ищи в одном направлении то земля переверну 1гсь бы < ўтай - помереть мне иа месте (божба)
CS	АГАР-МАГАР	разг если бы ца кабы
A1	БЕДАРАҚ	без вести, безвестно, бесследно, // безвест ный бесследный, ~ йуколган пропавший без вести, — булиб кетмоц пропасть без вести, исчезнуть
A2	БЕДАРВОЗА	1 не имеющий ворот, 2 перен бесконтрольный, никем не управляемый, вольный
A1	БЕДАРМОН	 — дармонсиз; — тортмод слабеть. чувствовать слабость
N1	БЕДАРМОНЛИК	: дармонсизлик.
ADV	БЕДАХМАЗА	 без лишних хлопот и забот
N1	БЕДАХОНА	сарай для клевера, сена геном т
N1	БЕДАЧИЛИК	люцеоноводство, возделывание люцерны, — хўжалиги люцерновое хозяйство
A2	БЕДИЛ	1 ъ-чижн отчаявшийся, унылый печальный, грустный 2 перен нерасположенный (к кому л ) питаю щий нелюбовь, охладевший (к кому-л), не любящий (кого-л ), 3 книжн без памяти влюбленный
A1	БЕДИН	 = динсиз
N1	БЕДОДЛИК	 несправедливость, беззаконие
A1	БЕДОМ-ДАРАК	 без вести безвестно, бесследно, // безвестный бесследный, — булиб кетмоқ пропасть без вести, исчезнуть
N1	БЕДОНА	 | сорт винограда без косточек, 2 козлиная кожа лестной выделки, — махси ичиги из козлиной кожи
N1	БЕДОРЛИК	 1 бодрствование, бессонница, 2 перен бдительность, зоркость
A2	БЕДОРХОБ	 1 бессонный 2 полусонный, дремчющнй
N1	БЕДОРХОБЛИК	 1 бессонниц^ 2 сосюян с по чухна, дремота
V-TV	БЕЖАЛМОҚ	 страд от бежамоқ украшаться наряжаться, быть украшаемым, наряжаемым оформлялься, быть оформляемым, деворий газета яхши бежал ган стенгазета хорошо оформлена
A2,N1	БЕЖАМА	 1 укп^шенныи, нарядный красиво офор м Ленным, // украшение, убранство 2 перен неодобр ви тиевзлый вычурный, — услуб витиеватый стиль
A2	БЕЖАМАДОР	 1 украшенный, нарядный, с украшениями 2 перен неодобр витиеватый, вычурный
A2	БЕЖАМАЛИ	 -■ бежамадор
A2	БЕЖАМДОР	 = бежамадор.
V-TV	БЕЖАМОҚ	 укрпп. то, наряжать, оформлять (красиво, со вкусом) биноларни — украшать здания
A1	БЕЖАНЖАЛ	 без скандалов, без споров, спокойно, // спокойный у ~ юра олмайди он не может обойтись без скандалов
A1	БЕЖИЗ	 — эмас неспроста, не зря, недаром, не без ос нования, не без причины бу хат — эмас это письмо (на писано) неспроста
A2	БЕЖИРИМ	 аккуратный и изящный, миниатюрный, оёгида — хром этик на ногах у пего изяшные хромовые сапоги, —гина киз миниатюрненькая девушка
N1	БЕЖИРИМЛИК	 изящество, миниатюрность
A1	БЕЖО	 1 не на месте китоблар ~ булиб колибди книги оказались не на месте, 2 неуместный, неподходящий, // не уместно, некстати 3 беспокойный, тревожный, // беспокой но, тревожно, куз(лар)и — 1) в глазах у него смятение тревога 2) г таза его так и бегают, по его глазам видно, что он задумал 1тото недоброе кўнглим — буляпти на душе (у меня) неспокойно тревожно, я в смятении, 4 не хорошо, дурно. унииг юриши — I) он дурно ведет себя 2) он замыслил что то недоброе ~ юрмоц или —қадам босмоқ дурно вести себя
A1	БЕЖОИ	 1 обл — бежо 2, 2 без места, пристанища
A1	БЕЖОН	 = жонсиз
A2	БЕЖОҒЛИК	 1 украшенный, разукрашенный, накрытый — дастурхон (стол) накрытый стол, 2 находящийся в полном порядке, упорядоченный, аккуратный, обставлен пый, убранным, прибранный уютчый ~ уи обставленная комната ~ иш — тежоглик поел дело, находящееся в п »л ном порядке — всегда экономное,беки ики - бекское нз готово, для бека вес всегда готово соотв царю вина не курить, пива неварить — всё готово
N1	БЕЗ	 1 ! анат железа қалқонсимон ~ щитовидная же леза лимфа—пари лимфатические железы, ички секреция —лари железы внутренней секреции, 2 желвак, 3 не послушный, упрямый, толстокожий такой Которого НИ чем не проймешь нега —(дай) булиб турасан? что ты стоишь как печь?
N1	БЕЗ	II текст бязь, // бязевый
A2	БЕЗАВОЛ	 1 не знающий заката, немеркнущий, бес смертный, вечный, — ^аёт бессмертная жизнь ~ шуурат ьемеркнучцая слава, 2 не знающий упадка, вечно процве тающий, ~ ўлка вечно процветающий край
N1	БЕЗАК	украшение — моллари украшения, предметы украшения
A2	БЕЗАКДОР	- безакли
A2	БЕЗАКЛИ	 имеющий^ украшеция, украшенный,^ разукра шеннЫй
V-TV	БЕЗА.ЛМОҚ	 страд, от безамоц украшаться, наряжаться; оформляться; быть украшаемым, наряжаемым; быть оформляемым (напр. о задании, стенгазете и т. п); уйма нақшлар бил ан безалган уй дом, украшенный резным орнаментом.
V-TV	БЕЗАМОҚ	 украшать, наряжать; оформлять; ҳақнқатни безаб кўрсатмоқ приукрашивать действительность.
V-IV	БЕЗАНГЛАМОҚ	 1 нервно вздрагивать; брыкаться; 2 выражать нетерпение (напр. мимикой); передёргиваться от отвращения; выходить из себя; дори десанг безанглай-ди о лекарстве он и слышать не может
V-TV-CAUS	БЕЗАНГЛАТ.МОҚ	понуд. от безангламоқ.
V-IV-REFL	БЕЗАНМОҚ	еозер. от безамоц наряжаться, украшаться, прихорашиваться.
V-TV-CAUS	БЕЗАНТИР.МОҚ	 1 понуд. от безанмоқ; 2 = безатмоц.
A1	БЕЗАРАР	 1 безвредный, безобидный, // без вреда; 2 безубыточный; // безубыточно, без убытка. 3 невредимый; //в целости и сохранности, без (каких-л) повреждений.
V-IV	БЕЗАТИЛМОҚ	 страд. от безатмоқ безалмоц.
V-TV-CAUS	БЕЗАТМОҚ	 I страд, от безамоц; 2 ~ безамоқ.
A2	БЕЗАХА	 неповреждённый, непобйтый, непомятый (о плодах, фруктах); — о дм а недобитое яблоко; ~ цовун неповреждённая, непомятая дыня; мевани уринтирмасдан, ~ ғ-илиб узиш керак фрукты следует собирать осторожно, не причиняя повреждений.
V-TV-COOP	БЕЗАШ.МОҚ	 совм. от безамоқ.
A1	БЕЗАҲМАТ	 1 без труда; // нетрудовой; 2 без затруднения, не испытывая тяготы, легко.
IDEO	БЕЗ-БЕЗ	 ~ оғрнмоқ ныть, ломить; оеқларим ~ оғрияп-ти у меня ноги ноют; у меня ломит ноги (от усталости); — қилмоқ 1) = — огримок; 2) == безилламоқ
N1	БЕЗБЕТ	 наглец; // наглый, бесстыдный, бесстыжий.
N1	БЕЗБЕТЛИК	 наглость; ~ қилмо^ проявлять наглость; поступать нагло-
N1	БЕЗГАҚ	малярия, лихорадка;//малярийный; унинг без-гаги тутяпти его трясёт малярия; ~ дори разг, хинин; — чивини анофелес (малярийный комар).
N1	БЕЗГАЛДАҚ	зоол. стрепет.
V-TV-CAUS	БЕЗДИР.МОҚ	 понуд. от безмо^ отбивать охоту (к чему-л.); вызывать чувство отвращения (к себе или к кому-чему-л.); отваживать (от чего-л.); қўполлигинг сен дан ҳаммани бездирди твоя грубость всех оттолкнула от тебя; бекорчмлик уни турмушдан бездирди безделье отравило ему жизнь; итини уравериб уйидан бездирди побоями ои отвадил свою собаку от дома.
A2	БЕЗИЁ	 без блеска, тусклый, ослабевший (о зрении); ~ юлдузлар тускло мерцающие звёзды.
A1	БЕЗИЁН	 = безарар.
V-IV	БЕЗИЛЛА.МОҚ	 1 = безангламоқ 1; 2 побаиваться опасаться (чего-л. неприятного или испытанного раньше); тишимни олдирай десам юрагим безиллаяпти хотёл бы удалить зуб. но побаиваюсь; сенмнг х архаш ан гдан безил-лаб қолиоман мне осточертели твой капризы; 3 ныть, ломить; оекларим безиллаб огриялти у меня нбгя ноют; у меня ноги ломит (от усталости)
V-TV-CAUS	БЕЗИЛЛАТ.МОҚ	 понуд. от безилламоц 2, 3.
A2	БЕЗЛИ	 анат. железистый; ~ эпителий железистый эпителий.
V-IV	БЕЗМОҚ	 терять охоту (к чему-л): чувствовать отвращение (к кому-чему-л.); доридаи бездны мне опротивели лекарства; бекорчидикдан бездим мне опротивело безделье.
A2	БЕЗОВТА	 1 беспокойный, обеспокоенный, неспокойный, тревожный, встревоженный; 2 хлопотливый, полный забот; — бўлмоқ 1) беспокоиться, быть обеспокоенным, встревоженным; 2) хлопотать, заботиться (о чём-л.); 3) испытывать беспокойство (от неудобства или боли); ~ қилмоқ 1) беспокоить (кого-л.) тревожить (кого-л.); 2) доставлять хлопоты (кому-л.); кечирасиз, бемаҳалда сизим ~ қилдим извините, что я побеспокоил вас в такой поздний час; 3) беспокоить, причинять неудобство цлл боль; чи-вин ~ килмаяптими? комары не беспокоят (вас)?; уни уйқудан ~ кмлманг не прерывайте его сон; не мешайте ем\' спать: 3 беспокойный человек непоседа.
V-IV	БЕЗОВТАЛАНМОҚ	 = безовта бўлмоқ (см. безовта 2).
N1	БЕЗОВТАЛИК	 1 беспокойство, чувство тревбги; 2 беспокойный нрав, непоседливость
A2	БЕЗОР	питаюшнй отвращение (к кому-чему-л.); изведённый (кем-чем-л.); ундан ҳамма — он опротивел всем; ~ бўлмоқ испытывать отвращение (к кому-чему-л.); унинг эзмалигидан ~ бўлдим мне надоело его многословие; килмок надоедать, опротиветь (кому-л.); изводить (кого-л.); вызывать (к кому-л.) отвращение; дилозордан худо — поел, обидчик и богу не угоден.
N1	БЕЗОРИ	хулиган.
A2	БЕЗОРИЖОН:	 — цилмок 1) наскучивать, надоедать (кому-л.); 2) изводить (кого-л.), не давать покоя.
V-TV	БЕЗОРИЖОН ҚИЛ	
N1	БЕЗОРИЛИК	хулиганство; — қилмоц хулиганить.
A2	БЕЗОТ	1 непородистый; 2 уст. незнатный, не принадлежащий к привилегированным сословиям феодального общества.
 разг. 1 смотреть тупо и бессмысленно; пялить глаза; нега безраясан, гапир! что ты уставился, говори!; 2 застыть на месте, остолбенеть (от удивления, изумления и т п.).	БЕЗРАЙ.МОҚ	V-IV	.
V-TV-CAUS	БЕЗРАЙТИР.МОҚ	 понуд от безраймок.
A1	БЕИБО	== ибосиз,
ADV	БЕИЖОЗАТ	 нареч. без разрешения, без позволения, не спросись.
A1	БЕИЗ	1 == изенз; 2 бесследный; // без следа, бесследно; ~ йўқолиб кетмоц исчезнуть без следа.
A1	БЕИЛЛАТ	 безупречный, безукоризненный, лишённый недостатков, или пороков; арзон — эмас, миммат беҳик-мат эмас поел, дешёвый — не без изъяна, а дорогой — не без достоинств
A1	БЕИЛТИФОТ	 невнимательный (к кому-л.); немилостивый. нелюбезный; // без внимания, нелюбезно
A1	БЕИМЗО	без подписи; анонимный; ~ хат анонимное письмо.
